ID,Program category,University,Program,Degree,Major/Specialization,Academic or Professional,School/Department/College,Program link,Contact information,Description,Length,Career,Faculty,Enrolling semester,Application deadline,Application fee,Application material,Required tests,English requirement,Application review procedures,Admission decision timeline,Acceptance rate,Attendance rate of admitted students,# of students enroll per year,% of International students,% of Chinese students,Average GPA,Average/Desirable GRE,Undergraduate institutions represented by Chinese students,Tuition & fees,Books & Supplies,Living cost,Scholarships & Financial aid,Year of Founded,Public/Private,Enrollment,Location,Setting
47,Communication,Indiana University and Purdue University Indianapolis,MA in Applied Communication,M.A.,Communication,Academic,School of Liberal Arts - Department of Communication Studies,http://liberalarts.iupui.edu/comm/index.php/academics/graduate_program,"Graduate program coordinator, Ms. Jill Cobb, jiacobb@iupui.edu","传播方向的学术研究项目。学生通过广泛学习传播学理论及研究方法，设计自己特定的研究方向，并学习将所有理论及研究方法应用于自己的选定方向。研究领域包括：Corporate communication, Health communication, and Media. ",2 Years,,,Fall,"Jan 15, for consideration for fellowship",$62,Resume or CV; Statement of Purpose; Letters of recommendation (3); ,"GRE (Not requird for admission, but required for fellowship)",iBT,Review at one time,,,,25,,,School don't track,N/A,,"$118,200","$1,200","$16,000",,1969,Public,"30,461","Indianapolis, IN",Urban
48,Communication,Indiana University and Purdue University Indianapolis,PhD in Health Communication,PhD,Health Communication,Academic,School of Liberal Arts - Department of Communication Studies,http://liberalarts.iupui.edu/comm/index.php/phd,"Elizabeth Goering, bgoering@iupui.edu",Health Communication方向的研究项目。申请者应从Faculty背景入手找到符合自己研究兴趣的项目。,,,,Fall,1-Feb,$62,Resume or CV; Statement of Purpose; Letters of recommendation (3); Writing sample; Master degree in related field,GRE,"iBT, minimum 80, desirable 100; IELTS, minimum 6.5, desirable 7.0",Review at one time,,,,,,,Minimum 3.5 for graduate study,"Verbal-150 to 170, Quantatative-150 to 170, Writing-4.0 to 6.0",,"$118,200","$1,200","$16,000",,1969,Public,"30,461","Indianapolis, IN",Urban
49,Communication,Indiana University at Bloomington,MA in Communication & Culture,M.A.,Communication,Academic,Department of Communication & Culture,http://www.indiana.edu/~cmcl/graduate/masters.shtml,"Ted Striphas, Director of Graduate Studies 
striphas@indiana.edu","Preparation for PhD. Research areas: Rhetoric and Public Culture; Film and Media Studies; Performance and Ethnography. Reorganizing. Nothing confirmed until fall, 2014",,,,Fall,1-Dec,$65,Resume or CV; Statement of Purpose; Letters of recommendation (3); Writing sample; related undergraduate major,GRE,,,,,,,,,,School don't track,,"$24,000",$800,"$20,000",School-level fundings are available,1838,Public,"42,133","Bloomington, IN",College Town
50,Communication,Indiana University at Bloomington,PhD in Communication & Culture,PhD,Communication,Academic,Department of Communication & Culture,http://www.indiana.edu/~cmcl/graduate/doctoral.shtml,"Kathy Teige, Graduate Program and Academic Records
kteige@indiana.edu",传播与文化方向的研究类项目。在学习传播学的理论与研究方法后选择某一跨学科领域开展创新性研究。Research areas: Rhetoric and Public Culture; Film and Media Studies; Performance and Ethnography。,,,,Fall,1-Dec,$65,Resume or CV; Statement of Purpose; Letters of recommendation (3); Writing sample; Master degree in related field,GRE,,,,,,,,,,School don't track,,"$24,000",$800,"$20,000",School-level fundings are available,1838,Public,"42,133","Bloomington, IN",College Town
51,Communication,Indiana University at Bloomington,MA in Journalism,M.A.,Journalism,Academic/Professional,School of Journalism,http://journalism.indiana.edu/graduate/ma-in-journalism/,"Graduate Admission, sojgrad@indiana.edu",学习新闻与报道的实践类项目。方向包括：Global journalism; Digital journalism; Science and health journalism; Political journalism; Professional; Research,1.5 Years,,,Fall,"12/1/2014, for fellowship and assistantship",$65,Resume or CV; Statement of Purpose; Letters of recommendation (3); Writing sample (optional);,GRE,"iBT, minimum 100",Review at one time,Admission decisions available from mid-Feb and then decisions come for funding,,,15 to 25,50.0%,,School don't track,"Verbal-152, Quantatative-152, Writing-4.0",,"$24,000",$800,"$20,000",School-level fundings are available,1838,Public,"42,133","Bloomington, IN",College Town
52,Communication,Indiana University at Bloomington,PhD in Communication,PhD,Communication,Academic,School of Journalism,http://journalism.indiana.edu/graduate/phd-in-mass-communication/,"Graduate Admission, sojgrad@indiana.edu",传播学的研究类项目。在学习传播学的理论与研究方法后选择某一跨学科领域开展创新性研究。Research areas:  Communication and culture; Communication and technology; International communication; Media ethics and professionalism; Media history; Media law; Political communication and visual communication.,,,,Fall,1-Dec,$65,Resume or CV; Statement of Purpose; Letters of recommendation (3); Writing sample (optional);,GRE,"iBT, minimum 100",Review at one time,Admission decisions available from mid-Feb and then decisions come for funding,25.00%,,5,50.0%,,School don't track,"Verbal-152, Quantatative-152, Writing-4.0",,"$24,000",$800,"$20,000",School-level fundings are available,1839,Public,"42,134","Bloomington, IN",College Town
53,Communication,Indiana University at Bloomington,MS in Telecommunications,M.S.,New media,Professional,Department of Telecommunication,http://www.indiana.edu/~telecom/graduate/degrees.shtml," Chairman of the Department, Walter Gantz, gantz@indiana.edu",Telecomunication的实践类项目，课程包括互动性故事构造、计算机游戏、媒体行业经济、内容生产管理、电信行业知识与研究。适合有意从事媒体内容制作、媒体管理类工作的申请者。,2 Years,,,Fall,1-Dec,$65,Resume or CV; Statement of Purpose; Letters of recommendation (3); Academic writing sample;,"GRE (Not required for applicants focusing on new media design and production, porfolio of creative work required instead)","iBT, minimum 100",,,38.00%,78.00%,18,40.0%,,3.48,"Verbal-153, Quantatative-153, Writing-4.0",,"$24,000",$800,"$20,000",School-level fundings are available,1841,Public,"42,136","Bloomington, IN",College Town
54,Communication,Indiana University at Bloomington,MA in Telecommunications,M.A.,New media,Academic,Department of Telecommunication,http://www.indiana.edu/~telecom/graduate/degrees.shtml,"Tamera Theodore, Graduate Program Administrator, ttheodor@indiana.edu",Preparation for PhD. 研究方向：Media Processes and Effects；Media Psychology；Media and Sexuality; Communications and Politics; Telecommunications Policy and Law; Children and Media; Media Economics. ,,,,Fall,1-Dec,$65,Resume or CV; Statement of Purpose; Letters of recommendation (3); Academic writing sample;,GRE,"iBT, minimum 100",,,,,,,,,"Verbal-153, Quantatative-153, Writing-4.0",,"$24,000",$800,"$20,000",School-level fundings are available,1840,Public,"42,135","Bloomington, IN",College Town
55,Communication,Indiana University at Bloomington,PhD in Mass Communication,PhD,Communication,Academic,Department of Telecommunication,http://www.indiana.edu/~telecom/graduate/degrees.shtml,"Tamera Theodore, Graduate Program Administrator, ttheodor@indiana.edu",研究方向：Media Processes and Effects；Media Psychology；Media and Sexuality; Communications and Politics; Telecommunications Policy and Law; Children and Media; Media Economics,,,,Fall,1-Dec,$65,Resume or CV; Statement of Purpose; Letters of recommendation (3); Academic writing sample; Master degree,GRE,"iBT, minimum 100",,,,,,,,Minimum 3.5 for graduate study,"Verbal-153, Quantatative-153, Writing-4.0",,"$24,000",$800,"$20,000",School-level fundings are available,1842,Public,"42,137","Bloomington, IN",College Town
56,Communication,John Hopkins University ,MA in Communication,M.A. ,Communication,Academic/Professional,Krieger School of Arts & Sciences,http://advanced.jhu.edu/academics/graduate-degree-programs/communication/,"Memi Miscally, mmiscal1@jhu.edu",Two tracks: Strategic Planning and Research. Strategic Planning 侧重传播行业实践应用，学生毕业后进入行业工作；Research侧重研究方法的学习，学生从事研究或进一步深造学习。课程可在Washington DC 或网络课堂完成。Concentrations: Public and media relations; Political communication; Health communication; Digital communication; and Corporate/non-profit communication.,2 Years,,,Spring/Summer/Fall,"No deadline, 3 months before the semster starts. ",$75,Resume or CV; Statement of Purpose; Letters of recommendation (2); ,GRE (Waivable with GPA of 3.0 and above or five years of full-time work experience after college),"iBT, minimum 100; IELTS, minimum 7.0",Rolling basis,4-6 weeks of review time,,,Flexible,5.00%,,Schoold don't track,N/A,,"$23,000","$1,200","$23,000",No departmental fundings available,1876,Private,"21,327 (2013)","Program in Washington, DC canpus",Urban
57,Communication,Kent State University,MA in Journalism and Mass Communication (Media Management Track),M. A.,Management,Professional,School of Journalism and Mass Communication,http://www2.kent.edu/jmc/academics/graduate/media-management/index.cfm,"Professor Tim Roberts, tarober1@kent.edu",学习媒体企业管理的偏实践应用的项目。课程包括传播学类课程、各类媒体企业管理课程，学生也可选修媒体制作类课程。,2 Years,,,Spring/Summer/Fall,"Spring-Dec 1, Summer-May 1, Fally-Jul 1",$30,Resume or CV; Statement of Purpose and statement of desired concentration; Letters of recommendation (3);,"GRE, minimum 300","iBT, minimum 100",,,,,8,65.00%,,School don't track,Refer to minimum requirement,,"$15,000","$1,400","$13,000","Scholarships application deadline Feb 21, Assistantship application deadline Mar 1",1910,Public,"26,461 (2013)","Kent, OH",Suburban
58,Communication,Kent State University,MA in Journalism and Mass Communication (Reporting and Editing Track),M. A.,Journalism,Professional,School of Journalism and Mass Communication,http://www2.kent.edu/jmc/academics/graduate/reporting-and-editing/index.cfm,"Professor Tim Roberts, tarober1@kent.edu",学习新闻报道的理论与实践技能。适合的职业方向为新闻制作或新闻类教育。,2 Years,,,Spring/Summer/Fall,"Spring-Dec 1, Summer-May 1, Fally-Jul 1",$30,Resume or CV; Statement of Purpose and statement of desired concentration; Letters of recommendation (3);,"GRE, minimum 300","iBT, minimum 100",,,,,8,65.00%,,School don't track,Refer to minimum requirement,,"$15,000","$1,400","$13,000","Scholarships application deadline Feb 21, Assistantship application deadline Mar 1",1910,Public,"26,461 (2013)","Kent, OH",Suburban
59,Communication,Kent State University,"MA in Journalism and Mass Communication (Public relations Track, Online)",M. A.,Advertising/PR,Professional,School of Journalism and Mass Communication,http://www2.kent.edu/jmc/academics/graduate/public-relations/index.cfm,"Professor Tim Roberts, tarober1@kent.edu",公关类的实践性项目。适合有意从事公关、整合营销传播及相关工作的申请者。在线课程完成项目内容。,2 Years,,,Spring/Summer/Fall,"Spring-Dec 1, Summer-May 1, Fally-Jul 1",$30,Resume or CV; Statement of Purpose and statement of desired concentration; Letters of recommendation (3);,"GRE, minimum 300","iBT, minimum 100",,,,,8,65.00%,,School don't track,Refer to minimum requirement,,"$15,000","$1,400","$13,000","Scholarships application deadline Feb 21, Assistantship application deadline Mar 1",1910,Public,"26,461 (2013)","Kent, OH",Suburban
60,,Kent State University,Communication Studies,M. A.,Communication Studies,Academic,School of Communication Studies,http://www2.kent.edu/comm/comm-programs/graduate/index.cfm,"Graduate Coordinator, Dr. Mei-Chen Linlin@kent.edu","传播学的理论研究项目。研究方向：Health Communication, Global Communication, Mediated/Mass Communication and Interpersonal Communication.适合继续深造或从事教学、科研或在行业的职业发展。毕业生在marketing, public planning, fundraising, event planning, non-profit organizations, sales and campaign teams方面工作，",2 Years,,,Fall/Spring,Fall-Jan 15; Spring-Nov 15,$30,"Resume or CV; Statement of Purpose, Letters of recommendation (3), Writing samples; ","GRE (Not requird for admission, but required for assistantship), minimum Verbal-155, Quantitative-144","iBT, minimum 92; IELTS, minimum 7.0 ",Rolling basis,2-4 weeks of review time,,,,,,School don't track,Refer to minimum requirement,,"$15,000","$1,400","$13,000","Scholarships application deadline Feb 21, Assistantship application deadline Mar 2",1911,Public,"26,461 (2013)","Kent, OH",Suburban
61,Communication,Louisana State University ,Master's in Masss Communication,Master's in Masss Communication,Communication,Academic/Professional,Manship School of Mass Communication,http://www.manship.lsu.edu/graduate-program/mmc/,"Lyn LeJeune, llejeune@lsu.edu",课程提供实践及学术两类track。学生可核心课程之后，在Journalism; Strategic communication (public relations & advertising); and Political communication 选择其一规划自己的学习内容以满足实践或学术研究的学习需求。,2 Years,,,Fall/Spring,Fall-Jan until Apr; Spring-Jul until Nov,$70,Resume or CV; Statement of Purpose; Letters of recommendation (3); Writing sample,"GRE, minimum Verbal-152, Quantitative-152, Writing-4.0","iBT, minimum 100",Rolling basis,4-6 weeks of review time,,,,,,,Refer to minimum requirement,,"$26,500","$1,200","$15,000",40% of students get tuition exemption and assistantship; Limited funding opportunities for Spring admission,1860,Public,"29,865 (2013)","Baton Rouge, LA",College Town
62,Communication,Louisana State University ,PhD in Masss Communication,PhD,Public Affairs,Academic,Manship School of Mass Communication,http://www.manship.lsu.edu/graduate-program/ph-d/,"Lyn LeJeune, llejeune@lsu.edu",全美唯一的媒体与公共事务交叉领域的PHD项目。该项目与政治科学学院联合，侧重与政治传播领域的研究。学生还可在其他相关学院，如海洋与环境学院选修课程来关注某一公共事务领域。研究方向包括：Political communication; Health communication; Science communication; Race and gender; Mass communication and technology; and Communication law,4 Years,,,Fall,25-Jan,$70,Resume or CV; Statement of Purpose; Letters of recommendation (3); Writing sample; Master degree; Skype interview,"GRE, minimum Verbal-156, Quantitative-156, Writing-4.5","iBT, minimum 100",Review at one time,Decisions available at mid-late March,15.00%,,,,,,Refer to minimum requirement,,"$26,500","$1,200","$15,000",All students are fully funded for four years,1860,Public,"29,865 (2013)","Baton Rouge, LA",College Town
63,Communication,Louisana State University ,MA in Communication Studies,M.A.,Communication Studies,Academic,Department of Communication Studies,http://uiswcmsweb.prod.lsu.edu/hss/cmst/Graduate/Degree%20Options/item56643.html,"Dr. Loretta Pecchioni, lpecch1@lsu.edu",学生在传播学理论和研究方法学习的基础上，找到自己的研究方向，开展创新研究。MA-PhD fast track available. But students have to start with a MA program.,2 Years,,,Fall,31-Jan,$70,Letters of recommendation (3); Writing sample; ,"GRE, minimum 300","iBT, minimum 79; IELTS, minimum 6.5",Review at one time,Decisions available from the end of Feb,,,7,Unfixed,Unfixed,3.5,Refer to minimum requirement,,"$26,500","$1,200","$15,000",Half of the admitted studetns are funded by the program. ,1860,Public,"29,865 (2013)","Baton Rouge, LA",College Town
64,Communication,Louisana State University ,PhD in Communication Studies,PhD,Communication Studies,Academic,Department of Communication Studies,http://uiswcmsweb.prod.lsu.edu/hss/cmst/Graduate/Degree%20Options/item56643.html,"Dr. Loretta Pecchioni, lpecch1@lsu.edu",Communication Studies是传统的传播学科.学生在学习通用的传播学理论及研究方法的基础上，在导师的指导下选定特定的研究方向。毕业生从事Academia或传播类组织的研究工作。学生应从Faculty背景入手找到符合自己研究兴趣的项目。,4 Years,,,Fall,31-Jan,$70,Letters of recommendation (3); Writing sample; Master degree,"GRE, minimum 300","iBT, minimum 79; IELTS, minimum 6.5",Review at one time,Decisions available from the end of Feb,,,7,Unfixed,,3.75 for graduate study,Refer to minimum requirement,,"$26,500","$1,200","$15,000","The program awarded graduate assistanship to 25 students (MA+PhD) each year. 40% of the students are fundded. International students are not ususally funded during the first year, although they may receive fundings later. ",1860,Public,"29,865 (2013)","Baton Rouge, LA",College Town
65,Communication,Marquette University,MA in Communication (Advertising and Public Relations Track),M. A.,Advertising/PR,Academic/Professional,Diederich College of Communication,http://diederich.marquette.edu/COC/MA-communication.aspx,commgrad@mu.edu,广告/公关类的实践项目。学习传播学的通用理论、研究方法，及广告、公关类的实用性课程。,2 Years,,,Spring/Summer/Fall,"Deadline for fellowship application: Spring-Nov 15, Summer-Apr 15, Fall-Feb 15",$50,Statement of Purpose; Letters of recommendation (3);,"GRE, minimum Verbal-150, Quantitative-150, Writing-4.5","iBT, minimum 100",Rolling basis,4-6 weeks of review time,Unfixed,,7,20.0%,,School don't track,Refer to minimum requirement,,"$17,800","$1,200","$15,000","RA, TA and scholarships are available for separate application",1881,Private,"11,782 (2013)","Milwaukee, WI",Urban
66,Communication,Marquette University,MA in Communication- (Communication Studies Track),M.A.,Communication Studies,Academic,Diederich College of Communication,http://diederich.marquette.edu/COC/specializations.aspx,commgrad@mu.edu,在家庭、跨文化、跨组织的环境下研究传播的过程及特点。主要学习理论知识及研究方法。,2 Years,,,Spring/Summer/Fall,"Deadline for fellowship application: Spring-Nov 15, Summer-Apr 15, Fall-Feb 15",$50,Statement of Purpose; Letters of recommendation (3);,"GRE, minimum Verbal-150, Quantitative-150, Writing-4.5","iBT, minimum 100",Rolling basis,4-6 weeks of review time,Unfixed,,7,20.0%,,School don't track,Refer to minimum requirement,,"$17,800","$1,200","$15,000","RA, TA and scholarships are available for separate application",1881,Private,"11,782 (2013)","Milwaukee, WI",Urban
67,Communication,Marquette University,MA in Communication (Journalism Track),M. A.,Journalism,Professional,Diederich College of Communication,http://diederich.marquette.edu/COC/specializations.aspx,commgrad@mu.edu,新闻类的实践性项目。既学习通用的传播学的理论及研究方法，又学习跨媒体平台的新闻报道与制作技能。,2 Years,,,Spring/Summer/Fall,"Deadline for fellowship application: Spring-Nov 15, Summer-Apr 15, Fall-Feb 15",$50,Statement of Purpose; Letters of recommendation (3);,"GRE, minimum Verbal-150, Quantitative-150, Writing-4.5","iBT, minimum 100",Rolling basis,4-6 weeks of review time,Unfixed,,7,20.0%,,School don't track,Refer to minimum requirement,,"$17,800","$1,200","$15,000","RA, TA and scholarships are available for separate application",1881,Private,"11,782 (2013)","Milwaukee, WI",Urban
68,Communication,Marquette University,MA in Communication (Mass Communication Track),M.A.,Communication,Academic,Diederich College of Communication,http://diederich.marquette.edu/COC/specializations.aspx,commgrad@mu.edu,传播类的偏理论研究的项目。学生将传播学与全球化研究、媒体效应、视觉传播等领域结合，开展创新研究。,2 Years,,,Spring/Summer/Fall,"Deadline for fellowship application: Spring-Nov 15, Summer-Apr 15, Fall-Feb 15",$50,Statement of Purpose; Letters of recommendation (3);,"GRE, minimum Verbal-150, Quantitative-150, Writing-4.5","iBT, minimum 100",Rolling basis,4-6 weeks of review time,Unfixed,,7,20.0%,,School don't track,Refer to minimum requirement,,"$17,800","$1,200","$15,000","RA, TA and scholarships are available for separate application",1881,Private,"11,782 (2013)","Milwaukee, WI",Urban
69,Communication,Marquette University," MA in Communication (Communication about Health, Environment, Science and Sustainability Track)",M.A.,Health Communication,Academic,Diederich College of Communication,http://diederich.marquette.edu/COC/specializations.aspx,commgrad@mu.edu,侧重于健康、环境、科学及持续性方向的传播类项目。学习在以上领域的传播学理论及研究方法。,2 Years,,,Spring/Summer/Fall,"Deadline for fellowship application: Spring-Nov 15, Summer-Apr 15, Fall-Feb 15",$50,Statement of Purpose; Letters of recommendation (3);,"GRE, minimum Verbal-150, Quantitative-150, Writing-4.5","iBT, minimum 100",Rolling basis,4-6 weeks of review time,Unfixed,,7,20.0%,,School don't track,Refer to minimum requirement,,"$17,800","$1,200","$15,000","RA, TA and scholarships are available for separate application",1881,Private,"11,782 (2013)","Milwaukee, WI",Urban
70,Communication,Michigan State University,Advertising,M.A.,Advertising/PR,,College of Communication Arts and Sciences - Department of Advertising and Public Relations,http://cas.msu.edu/places/departments/advertising-pr/programs/graduate-studies/masters/advertising-2/overview/,,,2 Years,,,Fall/Spring,Fall-Feb 1; Spring-Oct 1,$50,Resume; Personal Statement; Academic Statement; Letters of recommendation (3); ,"GRE, minimum 50%","iBT, minimum 100, with 22 on each section; IELTS, unacceptable. English Language test is required upon arrival on campus. Failure to pass to test will result in English coursed for one semester.",,,,,,,,Minimum 3.25 for the last two years of undergraduate study,,,,,,Merit-based grants are available,,,,,
71,Communication,Michigan State University,Public Relations,M.A.,Advertising/PR,,College of Communication Arts and Sciences - Department of Advertising and Public Relations,http://cas.msu.edu/places/departments/advertising-pr/programs/overview/,,,2 Years,,,Fall/Spring,Fall-Feb 1; Spring-Oct 2,$50,Resume; Personal Statement; Academic Statement; Letters of recommendation (3); ,"GRE, minimum 50%","iBT, minimum 100, with 22 on each section; IELTS, unacceptable. English Language test is required upon arrival on campus. Failure to pass to test will result in English coursed for one semester.",,,,,,,,Minimum 3.25 for the last two years of undergraduate study,,,,,,,,,,,
72,Communication,Michigan State University,Communication,M.A.,Communication,,College of Communication Arts and Sciences,http://cas.msu.edu/overview/,,"Research areas: Interpersonal communication, Organizational communication, Mediated communication, Persuasion and social influence, and Intercultural communication.",2 Years,,,Fall,1-Apr,$50,Resume; Personal Statement; Academic Statement; Letters of recommendation (3); ,"GRE, minimum 50%","iBT, minimum 93, with 21 on each section; IELTS, unacceptable. English Language test is required upon arrival on campus. Failure to pass to test will result in English coursed for one semester.",,,,,,,,,,,,,,37572 total financial proof,,,,,
73,Communication,Michigan State University,Communication,PhD,Communication,Academic,College of Communication Arts and Sciences,http://cas.msu.edu/places/departments/communication/programs/graduate/ph-d/,,,5 Years,,,Fall,1-Feb,$51,Resume; Personal Statement; Academic Statement; Letters of recommendation (3); ,GRE,"iBT, minimum 93, with 21 on each section; IELTS, unacceptable. English Language test is required upon arrival on campus. Failure to pass to test will result in English coursed for one semester.",,,,,,,,,,,,,,,,,,,
74,Communication,Michigan State University,Health and Risk Communication ,M.A.,Health Communication,Academic,College of Communication Arts and Sciences & College of Human Medicine,http://cas.msu.edu/programs/graduate-studies/health-and-risk-communication/overview/,,,2 Years,,,Fall,1-Feb,$50,Resume; Personal Statement; Academic Statement; Letters of recommendation (2); ,GRE,"iBT, minimum 93, with 21 on each section; IELTS, unacceptable. English Language test is required upon arrival on campus. Failure to pass to test will result in English coursed for one semester.",,,,,,,,,,,,,,,,,,,
75,Communication,Michigan State University,Journalism,M.A.,Journalism,Academic+Professional,College of Communication Arts and Sciences - School of Journalism,http://cas.msu.edu/programs/graduate-studies/overview-2/,,"Special concentrations: Health, environment and science; International and journalism education.",2 Years,,,Fall/Spring,For funding: Fall-Feb 1; Spring-Oct 1,$50,Resume; Personal Statement; Academic Statement; Letters of recommendation (3); ,GRE ,"iBT, minimum 93, with 21 on each section; IELTS, unacceptable. English Language test is required upon arrival on campus. Failure to pass to test will result in English coursed for one semester.",,,,,,,,,,,,,,,,,,,
76,Communication,Michigan State University,Media and Information,M.A.,New media,,College of Communication Arts and Sciences,http://cas.msu.edu/places/departments/telecommunication-information-studies-media/programs/graduate-studies/masters/,"Nancy Ashley,
Academic Programs Coordinator, ashleyn@msu.edu","Two concentrations: Human-Computer Interaction (HCI)
Media and Information Management (MIM)",2 Years,,,,,$50,Resume; Personal Statement; Academic Statement; Letters of recommendation (3); Prerequisites,"GRE, minimum 50%","iBT, minimum 91, with 22 on each section; IELTS, unacceptable. English Language test is required upon arrival on campus. Failure to pass to test will result in English coursed for one semester.",,,,,,,,Minimum 3.25 for the last two years of undergraduate study,,,,,,Merit-based grants are available,,,,,
77,Communication,Michigan State University,Media and Information Studies,PhD,New media,Academic,College of Communication Arts and Sciences,http://cas.msu.edu/misphd/,"Nancy Ashley,
Academic Programs Coordinator, ashleyn@msu.edu",,5 Years,,,Fall,10-Dec,$50,Resume; Personal Statement; Academic Statement; Letters of recommendation (3); ,GRE ,"iBT, minimum 93, with 21 on each section; IELTS, unacceptable. English Language test is required upon arrival on campus. Failure to pass to test will result in English coursed for one semester.",,,,,,,,,,,,,,90% of enrolling students are fully funded.,,,,,
78,Communication,New Mexico State University,Communication Studies,M.A.,Communication Studies,Academic,College of Arts & Sciences - Department of Communication Studies,http://commstudies.nmsu.edu//#,"Dr. Kenneth Hacker, Graduate program director,  comstudy@nmsu.edu",,2 Years,,,,No deadline,,Statement of Purpose; Letters of recommendation (3); Scholarly writing sample,None,English competency test via Skype,,,,,,,,Minimum 3.25,N/A,,"$16,000","$1,200","$16,000",Funding opportunities available,1888,Public,,"Las Cruces, NM",Suburban
79,Communication,New York University,Film Producing,MFA,Producing,Professional,TISCH School of the Arts,http://mba-mfa.nyu.edu/,tisch.gradadmissions@nyu.edu,兼顾电影行业的内容制作与商业运营，是关于电影制片的全方位视角的实践项目。课程包括剧本分析、导演、编辑、音效等制作类的课程，还包括独立电影制片、独立电影公司构架与管理、娱乐产业法等课程。该项目还设有与NYU Stern商学院联合的MFA/MBA双学位项目。申请双学位需要向两个项目申请，并同时得到录取。双学位项目需要3年时间完成。,2 Years,,,Fall,1-Dec,$60,Resume; Statement of Purpose; Letters of recommendation (2); Creative portfolio;,None,"iBT, no minimum requirement",Review at one time,Decisions released by the 1st week of April,4.00%,N/A,36,38.00%,6.00%,3.3,N/A,,"$45,000","$1,200","$20,000",Graduate assistantships and teaching fellowships are available for qualified  third year students. Scholarships are based on academic merit and financial needs.,1831,Private,"50,917 (2012)","New York, NY",Urban
80,Communication,New York University,Interactive Telecommunication,Master of Professional Studies,New media,Professional,TISCH School of the Arts,http://itp.tisch.nyu.edu/page/home.html,itp.inquiries@nyu.edu,是一个融合艺术、科技与媒体的非传统的传媒类项目。内容并非理论研究或实践学习，而是大量的与peers的艺术实验与协作。考验学生们的创新性。,2 Years,,,Fall,1-Dec,$60,Resume; Statement of Purpose; Letters of recommendation (2); Creative portfolio (Optional) ,None,"iBT, minimum 100; IELTS, minimum 7.0",Review at one time,Decisions released by the 1st week of April,33.00%,,110,40-50%,10.0%,School don't track,N/A,,"$28,800","$1,200","$20,000",Limited number of scholarships are based on academic merit. No additional application required.,1831,Private,"50,917 (2012)","New York, NY",Urban
81,Communication,New York University,MA in Cinema Studies ,M.A. ,Film,Academic,TISCH School of the Arts,http://cinema.tisch.nyu.edu/object/cs_gradMA.html,kcs1@nyu.edu,学习关于电影的历史、批评、理论及艺术鉴赏的理论项目。毕业生从事电影博物馆、电影评论、电影教学、电影创作等方面的工作。,2 Years,,,Fall,1-Dec,$60,Resume or CV; Statement of Purpose; Letters of recommendation (3); Writing sample,None,"iBT, minimum 100; IELTS, minimum 7.0",Review at one time,Decisions available in March,33.00%,69.00%,40,33.00%,,School don't track,N/A,,"$28,800","$1,200","$20,000",Scholarship and fellowship are available for domestic and international students. 35% students are awarded.,1831,Private,"50,917 (2012)","New York, NY",Urban
82,Communication,New York University,PhD in Cinema Studies ,PhD,Film,Academic,TISCH School of the Arts,http://cinema.tisch.nyu.edu/object/cs_gradphd.html,kcs1@nyu.edu,"相较于MA in Cinema Studies, 该PhD项目是对电影历史、批评、理论及艺术鉴赏的深入研究。研究方法来自于艺术历史、文化学习、美国研究、心理分析理论及哲学等。学生在以上领域有广博的知识基础并在自己的研究方向上有精深的见解，能独立完成相关研究。",4 Years,,,Fall,1-Dec,$60,Resume or CV; Statement of Purpose; Letters of recommendation (3); Writing sample; Completion of a Master's degree,GRE," iBT, minimum 100; IELTS, minimum 7.0",Review at one time,Decisions available in March,33.00%,69.00%,4,33.00%,,School don't track,School don't track,,"$28,800","$1,200","$20,000",Fully funded for a four year period.,1831,Private,"50,917 (2012)","New York, NY",Urban
83,Communication,New York University,"MA in Media, Culture and Communication",M.A. ,Communication,Academic,"Steinhardt School of Culture, Education and Human Development - Department of Media, Culture and Communication",http://steinhardt.nyu.edu/mcc/masters/,mcc.ma.admissions@nyu.edu,关于文化与媒体的跨学科研究。研究方向包括：Global and Transcultural Studies; Technology and Society; Visual Culture and Cultural Studies; Persuasion and Politics; Interaction and Social Processes.学生能够展示在以上方面的学术发现，并运用良好的口头及书面表达相关方向的批判性思维，并在某一方向中在现有理论的基础上开展独立研究。毕业生可进一步深造。,1.5-2 Years,,,Fall,1-Feb,$75,Resume or CV; Statement of Purpose; Letters of recommendation (2); ,GRE ,"iBT, no minimum requirement, preferrable 100",Review at one time,Admission decisions are released in late-February/early-March,40.0%,,70,30.0%,,School don't track,"Verbal-156, Writing-4.5",,"$28,400","$1,200","$20,000",Fundings are limited for MA students.,1831,Private,"50,917 (2012)","New York, NY",Urban
